Designator,,Footprint,X,Y,,Mid X,Mid Y
C1,1.0uF,402,-19.1,27.2,,19.125,-27.225
C10,10uF,Tant0805,-30.5,37.1,,30.525,-37.075
C11,1.0uF,402,-61.0,9.3,,60.975,-9.275
C12,10nF,402,-61.0,7.4,,60.975,-7.35
C13,0.1uF,402,-60.2,18.4,,60.1943,-18.3796
C14,1.0uF,402,-68.4,15.2,,68.4489,-15.205
C15,1.0uF,402,-68.1,22.1,,68.0679,-22.063
C16,0.1uF,402,-65.3,20.7,,65.2739,-20.666
C17,0.1uF,402,-66.4,12.9,,66.375,-12.9
C18,0.1uF,402,-68.1,19.0,,68.0683,-19.0146
C19,0.1uF,402,-53.2,1.0,,53.15,-0.975
C2,1.0uF,402,-60.2,19.6,,60.175,-19.575
C20,1.0uF,402,-24.7,38.3,,24.725,-38.25
C21,470pF,402,-31.1,39.2,,31.075,-39.2
C22,1.0uF,402,-57.0,37.2,,57,-37.15
C23,1.0uF,402,-56.3,39.1,,56.25,-39.05
C24,10nF,402,-60.2,34.4,,60.225,-34.4
C25,1.0uF,402,-61.6,27.8,,61.575,-27.8
C26,1.0uF,402,-65.7,31.7,,65.7,-31.65
C27,1.0uF,402,-67.3,9.0,,67.3,-9.025
C29,0.1uF,402,-14.0,13.7,,14.025,-13.7
C3,1.0uF,402,-66.1,25.5,,66.125,-25.45
C30,10nF,402,-18.0,18.2,,17.975,-18.175
C31,0.1uF,402,-17.9,16.5,,17.925,-16.45
C32,1uF,Tant0805,-28.1,19.0,,28.125,-18.975
C33,0.1uF,402,-29.5,18.9,,29.45,-18.925
C34,0.1uF,402,-41.4,2.6,,41.4,-2.625
C4,10nF,402,-67.0,28.5,,67.025,-28.475
C5,1uF,Tant0805,-17.7,35.4,,17.675,-35.4
C6,1uF,Tant0805,-7.3,36.9,,7.275,-36.9
C7,1.0uF,402,-62.6,25.3,,62.6,-25.25
C8,1.0uF,402,-70.1,27.6,,70.125,-27.6
C9,10nF,402,-70.9,32.3,,70.925,-32.325
D1,LED_0603,Diode0603,-29.1,10.5,,29.1,-10.525
D4,LED_0603,Diode0603,-13.9,31.0,,13.875,-30.975
P1,USB,HDR_2x1_2mm,-17.5,38.2,,17.533,-38.175
P10,HYDROPHONE,HDR1X3,-70.0,22.4,,69.9729,-22.444
P100,microSD-Molex,microSD_Molex_hinged,-46.2,25.8,,46.2311,-25.831
P11,Tactile,Tactile-B3U-1000,-44.6,16.4,,44.6,-16.4
P12,Header 3,HDR1X3,-5.0,26.2,,4.95,-26.215
P13,Teensy3.x,Teensy3.x,-17.1,19.5,,17.07,-19.495
P14,DIP1,DIP1,-44.9,35.3,,44.9181,-35.2649
P15,Header 5,HDR1X5,-27.3,29.5,,27.3,-29.52
P16,HYDROPHONE,HDR1X3,-77.8,-3.0,,77.84,3
P2,microUSB-vert,MICROUSB-VERT,-36.2,26.7,,36.1831,-26.665
P3,Display,HDR1X4,-5.3,2.3,,5.2781,-2.255
P4,Burn,BURN,7.6,18.0,,-7.55,-18
P5,Tactile,Tactile-B3U-1000,-54.4,26.0,,54.375,-25.95
P6,VHF Power,HDR1X2,-69.7,37.2,,69.7,-37.155
P7,Battery _2,HDR_2x1_2mm,-4.9,37.9,,4.875,-37.867
P8,Salt Switch,HDR1X2,-5.0,32.9,,4.975,-32.895
P9,HYDROPHONE,HDR1X3,-70.0,14.8,,69.9729,-14.824
Q1,DMN5L06TK-7,SOT-523,-67.0,38.4,,66.975,-38.4
Q2,DMN5L06TK-7,SOT-523,-6.3,20.2,,6.25,-20.225
R1,100x,3-0603,-26.6,19.2,,26.575,-19.175
R10,100k,3-0603,-17.9,-1.8,,17.9,1.8
R12,100k,3-0603,-13.1,26.6,,13.1,-26.6
R13,100k,3-0603,-14.7,26.6,,14.725,-26.575
R18,10k,3-0603,-18.9,25.9,,18.9,-25.925
R19,1k,3-0603,-7.6,27.8,,7.575,-27.75
R2,330,3-0603,-29.2,12.3,,29.2,-12.275
R4,2k,3-0603,-17.6,33.3,,17.625,-33.275
R5,330,3-0603,-13.9,29.0,,13.9,-28.975
R6,4.7k,3-0603,-22.0,15.9,,21.975,-15.9
R7,4.7k,3-0603,-22.0,17.4,,21.975,-17.35
R9,100k,3-0603,-16.3,-1.8,,16.275,1.825
U1,MCP1700T-1802E/TT,SOT-23-TT3_N,-61.9,22.8,,61.875,-22.75
U10,MS5837,MS5837,-53.4,4.0,,53.425,-4.025
U11,RGB light,ODFN,-27.6,15.9,,27.55,-15.925
U12,LP3985IM5-3.3,MF05A_N,-59.5,37.3,,59.5,-37.3
U2,LP3985IM5-3.3,MF05A_N,-64.2,28.0,,64.225,-27.975
U3,MCP73831T-2DCI/OT,SOT-23-OT5_N,-13.8,34.3,,13.775,-34.25
U4,LP3985IM5-3.3,MF05A_N,-68.4,31.9,,68.4,-31.875
U5,LP3985IM5-3.3,MF05A_N,-64.6,8.3,,64.6,-8.325
U6,SGTL5000,QFN32,-64.6,16.9,,64.6393,-16.8556
U7,3.6V LDO,MF05A_N,-27.6,38.2,,27.55,-38.225
U8,MPU9250,MPU6500,-14.1,16.9,,14.0607,-16.9126
U9,Keller7LD,Keller7LD,-48.9,3.1,,48.855,-3.09
